seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
42,0,0,N,,-3.07E-01,3.08E-01,4.35E-01,2.60E-09,4.59E-12,1,3.08E-01,-3.08E-01,15000,16,1,1,1,0.01,16,0,0,624,runs\20260505_160722_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step00_lam0.0000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
42,1,0.05,Y,0,-3.08E-01,3.07E-01,4.35E-01,2.88E-06,4.41E-06,0.999996,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,439.3,runs\20260505_160722_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step01_lam0.0500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
42,2,0.1,Y,0.05,-3.08E-01,3.07E-01,4.35E-01,5.29E-06,1.43E-05,0.999988,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,427.6,runs\20260505_160722_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step02_lam0.1000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
42,3,0.2,Y,0.1,-3.09E-01,3.06E-01,4.35E-01,9.48E-06,4.47E-05,0.999964,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,500.7,runs\20260505_160722_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step03_lam0.2000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
42,4,0.3,Y,0.2,-3.10E-01,3.05E-01,4.35E-01,1.30E-05,7.99E-05,0.999933,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,419.8,runs\20260505_160722_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step04_lam0.3000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
