lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0.5,42,7,0.5,Y,0.4,-0.304457357197436,0.324414010146818,0.444903059476092,0.00004433969,0.001105994,0.999039,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.5,warm_start_weights/seed42_step07_lam0.5000_xi0.25_xf0.5.pt
0.5,45,7,0.5,Y,0.4,-0.304349273649228,0.324428763377669,0.444839862060018,0.00004397089,0.0009832743,0.999032,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,111.1,warm_start_weights/seed45_step07_lam0.5000_xi0.25_xf0.5.pt
0.5,99,7,0.5,Y,0.4,-0.304433182151011,0.324388064918391,0.444867597219768,0.00004625351,0.0008359277,0.998942,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.6,warm_start_weights/seed99_step07_lam0.5000_xi0.25_xf0.5.pt
0.6,42,8,0.6,Y,0.5,-0.306861627510299,0.325034345036499,0.447002666537433,0.00005396052,0.001610907,0.998589,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.3,warm_start_weights/seed42_step08_lam0.6000_xi0.25_xf0.5.pt
0.6,45,8,0.6,Y,0.5,-0.306723937623419,0.325055192460019,0.446923317870567,0.00005349558,0.001434513,0.998582,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,112.6,warm_start_weights/seed45_step08_lam0.6000_xi0.25_xf0.5.pt
0.6,99,8,0.6,Y,0.5,-0.306823907464604,0.325004648821302,0.446955178901985,0.00005622376,0.001201471,0.998451,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,115,warm_start_weights/seed99_step08_lam0.6000_xi0.25_xf0.5.pt
0.8,42,9,0.8,Y,0.6,-0.311800903063223,0.326071528667888,0.451156785340589,0.00007388301,0.002939447,0.997394,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.6,warm_start_weights/seed42_step09_lam0.8000_xi0.25_xf0.5.pt
0.8,45,9,0.8,Y,0.6,-0.311609867350714,0.326102350430504,0.451047062274691,0.00007324735,0.002587292,0.997386,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.7,warm_start_weights/seed45_step09_lam0.8000_xi0.25_xf0.5.pt
0.8,99,9,0.8,Y,0.6,-0.311741527545234,0.326031156180623,0.451086571288383,0.00007654698,0.002128643,0.997155,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.8,warm_start_weights/seed99_step09_lam0.8000_xi0.25_xf0.5.pt
1,42,10,1,Y,0.8,-0.316884542603797,0.326800669812459,0.455208184385002,0.00009404809,0.004663163,0.995833,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.3,warm_start_weights/seed42_step10_lam1.0000_xi0.25_xf0.5.pt
1,45,10,1,Y,0.8,-0.316642533787784,0.326850161781159,0.455075293176764,0.00009324221,0.004036745,0.995835,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.5,warm_start_weights/seed45_step10_lam1.0000_xi0.25_xf0.5.pt
1,99,10,1,Y,0.8,-0.316807747454337,0.326761859658306,0.455126863384755,0.00009701534,0.003343267,0.995443,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,112.6,warm_start_weights/seed99_step10_lam1.0000_xi0.25_xf0.5.pt
