lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,-0.313675911134742,0.300966636502758,0.434710815961593,0.000000002878037,5.171002E-12,1,0.313629728880134,-0.301289476406624,15000,16,1,1,1,0.01,16,0,0.25,287.1,warm_start_weights/seed42_step00_lam0.0000_xi0_xf0.25.pt
0,45,0,0,N,,-0.313624128566593,0.301053377427207,0.434733516167645,0.000000002871975,5.669263E-12,1,0.313629728880134,-0.301289476406624,15000,16,1,1,1,0.01,16,0,0.25,287.9,warm_start_weights/seed45_step00_lam0.0000_xi0_xf0.25.pt
0,99,0,0,N,,-0.313687784102483,0.300996292204504,0.434739915140059,0.000000002776301,5.619112E-12,1,0.313629728880134,-0.301289476406624,15000,16,1,1,1,0.01,16,0,0.25,285.5,warm_start_weights/seed99_step00_lam0.0000_xi0_xf0.25.pt
0.05,42,1,0.05,Y,0,-0.31409454406037,0.300708617992801,0.434834515124584,0.000002947992,0.000004782401,0.999995,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,115.3,warm_start_weights/seed42_step01_lam0.0500_xi0_xf0.25.pt
0.05,45,1,0.05,Y,0,-0.314151323532107,0.300717836979817,0.434881905297052,0.000002694738,0.000003830096,0.999996,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,114.5,warm_start_weights/seed45_step01_lam0.0500_xi0_xf0.25.pt
0.05,99,1,0.05,Y,0,-0.314264424105937,0.300531747943907,0.434834979941651,0.000003052958,0.000003752839,0.999995,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,116.2,warm_start_weights/seed99_step01_lam0.0500_xi0_xf0.25.pt
0.1,42,2,0.1,Y,0.05,-0.314595154057427,0.300394377002764,0.434979186503556,0.000005632748,0.00001768602,0.999983,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,113.7,warm_start_weights/seed42_step02_lam0.1000_xi0_xf0.25.pt
0.1,45,2,0.1,Y,0.05,-0.314577741007331,0.300399370382667,0.434970041340295,0.000005256122,0.00001457103,0.999986,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,114.8,warm_start_weights/seed45_step02_lam0.1000_xi0_xf0.25.pt
0.1,99,2,0.1,Y,0.05,-0.314672991986304,0.30025355583862,0.434938259617786,0.000005858875,0.00001379682,0.999982,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,113.6,warm_start_weights/seed99_step02_lam0.1000_xi0_xf0.25.pt
0.15,42,3,0.15,Y,0.1,-0.315133292978469,0.300012415480567,0.435105092806253,0.000008076226,0.00003700249,0.999966,0.313629728880134,-0.301289476406624,6000,16,1,1,1,0.01,16,0,0.25,115.5,warm_start_weights/seed42_step03_lam0.1500_xi0_xf0.25.pt
