lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0.4,45,6,0.4,Y,0.3,0.338002676802414,-0.279650686970251,0.438691595826191,0.00002574638,0.0003413579,0.999663,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,113.1,warm_start_weights/seed45_step06_lam0.4000_xi0_xf0.5.pt
0.4,99,6,0.4,Y,0.3,0.339903301491069,-0.27863474320348,0.43951288318387,0.000027311,0.0002948056,0.999607,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.2,warm_start_weights/seed99_step06_lam0.4000_xi0_xf0.5.pt
0.5,42,7,0.5,Y,0.4,0.339588949592284,-0.279358131518318,0.439729030575191,0.00003242669,0.00055456,0.999449,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.8,warm_start_weights/seed42_step07_lam0.5000_xi0_xf0.5.pt
0.5,45,7,0.5,Y,0.4,0.339493820034883,-0.279386261057664,0.439673443261767,0.00003212274,0.0005262617,0.999478,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.5,warm_start_weights/seed45_step07_lam0.5000_xi0_xf0.5.pt
0.5,99,7,0.5,Y,0.4,0.339567904968961,-0.279330440609061,0.439695186618937,0.00003391508,0.0004498323,0.99939,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,111,warm_start_weights/seed99_step07_lam0.5000_xi0_xf0.5.pt
0.6,42,8,0.6,Y,0.5,0.34113774197713,-0.278997199733047,0.440697624749824,0.00003887886,0.0007880015,0.999213,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114,warm_start_weights/seed42_step08_lam0.6000_xi0_xf0.5.pt
0.6,45,8,0.6,Y,0.5,0.341050963732131,-0.279031000779578,0.440651857205514,0.00003860732,0.0007557127,0.999249,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,112.3,warm_start_weights/seed45_step08_lam0.6000_xi0_xf0.5.pt
0.6,99,8,0.6,Y,0.5,0.341111597199585,-0.278974317343,0.440662900050646,0.00004083118,0.0006429841,0.999113,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,113.5,warm_start_weights/seed99_step08_lam0.6000_xi0_xf0.5.pt
0.8,42,9,0.8,Y,0.6,0.344296141144807,-0.278125275941347,0.442598578764839,0.00005228977,0.001407781,0.998588,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,113.8,warm_start_weights/seed42_step09_lam0.8000_xi0_xf0.5.pt
0.8,45,9,0.8,Y,0.6,0.344184652063972,-0.278172033318126,0.442541246480752,0.00005178559,0.001338234,0.998659,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,113.5,warm_start_weights/seed45_step09_lam0.8000_xi0_xf0.5.pt
0.8,99,9,0.8,Y,0.6,0.344255134452851,-0.278090899586519,0.442545077963805,0.00005475856,0.001133394,0.9984,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.3,warm_start_weights/seed99_step09_lam0.8000_xi0_xf0.5.pt
1,42,10,1,Y,0.8,0.347441992144617,-0.277094140070664,0.444406458511711,0.0000657112,0.002197898,0.997792,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.2,warm_start_weights/seed42_step10_lam1.0000_xi0_xf0.5.pt
1,45,10,1,Y,0.8,0.347299284034172,-0.277152944582149,0.444331573693795,0.00006487019,0.002081981,0.997907,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.3,warm_start_weights/seed45_step10_lam1.0000_xi0_xf0.5.pt
1,99,10,1,Y,0.8,0.347384127280168,-0.277058792415311,0.444339179389838,0.00006827439,0.001739468,0.997507,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,113.7,warm_start_weights/seed99_step10_lam1.0000_xi0_xf0.5.pt
