lam,x_i,x_f,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0,0,0,4.18E-01,-4.18E-01,5.91E-01,3.80E-09,4.02E-12,1.00E+00,4.18E-01,-4.18E-01,5.92E-01,2.89E-05,1.04E-03,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15000,537.8
,,,,,,,,,,,,,,,,,,,,,,,
