lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.3,0,0,99,N,-4.2904637874163198e-01,3.8910589610046831e-01,5.7920997357733439e-01,1.316875e-05,7.469918e-05,0.999957,6.2397377372973573e-02,-7.0294617421998462e-01,7.0571010801428813e-01,1.634166e-01,1.696925e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,534.6
0.4,0,0,42,N,4.3447872656870379e-01,-2.8735576903575377e-01,5.2090795908576015e-01,1.492852e-05,6.747569e-05,0.999901,9.0507996800688562e-01,-9.4517551224997831e-01,1.3086353569441542e+00,2.090562e-01,6.180649e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,539.4
0.4,0,0,45,Y,4.3271262431856844e-01,-3.2265779942763756e-01,5.3976686706035237e-01,1.070969e-05,5.919604e-05,0.999965,9.0507996800688562e-01,-9.4517551224997831e-01,1.3086353569441542e+00,2.090562e-01,5.971464e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,538.4
0.4,0,0,99,N,4.3513703968689738e-01,-3.5222644984106799e-01,5.5982829088490960e-01,1.619021e-05,1.123574e-04,0.999931,9.0507996800688562e-01,-9.4517551224997831e-01,1.3086353569441542e+00,2.090562e-01,5.781552e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,551.2
0.5,0,0,42,N,1.1050022149701355e+00,6.9100652173183355e-02,1.1071606907850662e+00,1.357882e-04,1.378657e-03,0.998428,-3.5918754602071168e-01,2.4723344015225246e-02,3.6003741049462629e-01,2.129495e-01,4.068639e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,553.4
0.5,0,0,45,Y,-4.4135877599507345e-01,3.4751301244236643e-01,5.6174982239840343e-01,1.116719e-05,5.566144e-05,0.999964,-3.5918754602071168e-01,2.4723344015225246e-02,3.6003741049462629e-01,2.129495e-01,9.251386e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,561.2
0.5,0,0,99,N,-4.3906727337715135e-01,3.4592031348218333e-01,5.5896416149021411e-01,1.957509e-05,1.678376e-04,0.999900,-3.5918754602071168e-01,2.4723344015225246e-02,3.6003741049462629e-01,2.129495e-01,9.192955e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,557.7
0.6,0,0,42,Y,-4.3306211496137176e-01,2.7798353385122526e-01,5.1460435336987931e-01,1.134407e-05,4.941736e-05,0.999932,1.1596162527822125e+00,3.0428504022248620e-01,1.1988741549553315e+00,1.955957e-01,1.328659e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,564.4
0.6,0,0,45,N,-6.3293449639804988e-01,-2.0728309741505135e-01,6.6601228157191716e-01,3.825181e-05,3.520355e-04,0.999659,1.1596162527822125e+00,3.0428504022248620e-01,1.1988741549553315e+00,1.955957e-01,1.554891e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,580.2
0.6,0,0,99,N,4.3967390553814695e-01,-2.5227265815283695e-01,5.0690693155910338e-01,1.464627e-05,1.061331e-04,0.999932,1.1596162527822125e+00,3.0428504022248620e-01,1.1988741549553315e+00,1.955957e-01,7.590333e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,571.2
