lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.05,0,0,42,N,-4.22E-01,4.16E-01,5.93E-01,6.79E-06,1.37E-05,0.999985,4.19E-01,-4.17E-01,5.92E-01,2.82E-05,2.00E+00,4.18E-01,-4.18E-01,16,1,1,2,0.0001,8,15000,510.9
0.05,0,0,45,Y,4.26E-01,-4.11E-01,5.92E-01,4.10E-06,3.90E-06,0.999996,4.19E-01,-4.17E-01,5.92E-01,2.82E-05,1.51E-02,4.18E-01,-4.18E-01,16,1,1,2,0.0001,8,15000,516.8
0.05,0,0,99,N,-4.20E-01,4.17E-01,5.91E-01,6.32E-06,1.26E-05,0.99999,4.19E-01,-4.17E-01,5.92E-01,2.82E-05,2.00E+00,4.18E-01,-4.18E-01,16,1,1,2,0.0001,8,15000,523.2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.592,,,,,,,,,,,,,,,,,,
