lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.5,0,0,99,N,2.28E+25,-5.45E+25,5.91E+25,inf,3.23E+03,0.000133,8.10E-02,-8.32E-01,8.36E-01,1.79E-01,7.07E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.6,0,0,42,Y,8.02E+25,1.78E+26,1.95E+26,inf,2.84E+03,0.0001,1.03E+00,-2.57E-01,1.06E+00,1.93E-01,1.84E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.6,0,0,45,N,nan,nan,nan,nan,3.58E+03,0.000099,1.03E+00,-2.57E-01,1.06E+00,1.93E-01,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.6,0,0,99,N,8.65E+24,-5.32E+25,5.39E+25,inf,3.23E+03,0.000135,1.03E+00,-2.57E-01,1.06E+00,1.93E-01,5.07E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.5
0.7,0,0,42,Y,8.98E+25,1.73E+26,1.95E+26,inf,2.84E+03,0.0001,-5.00E-01,-4.45E-01,6.70E-01,1.91E-01,2.91E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.7,0,0,45,N,nan,nan,nan,nan,3.58E+03,0.000099,-5.00E-01,-4.45E-01,6.70E-01,1.91E-01,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.7,0,0,99,N,-4.66E+24,-4.80E+25,4.82E+25,inf,3.23E+03,0.000138,-5.00E-01,-4.45E-01,6.70E-01,1.91E-01,7.21E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.8,0,0,42,Y,9.88E+25,1.67E+26,1.94E+26,inf,2.84E+03,0.0001,7.69E-01,4.82E-01,9.08E-01,1.80E-01,2.14E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.8,0,0,45,N,nan,nan,nan,nan,3.58E+03,0.000099,7.69E-01,4.82E-01,9.08E-01,1.80E-01,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.5
0.8,0,0,99,N,-1.62E+25,-3.95E+25,4.27E+25,inf,3.22E+03,0.00014,7.69E-01,4.82E-01,9.08E-01,1.80E-01,4.70E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.5
0.9,0,0,42,Y,1.07E+26,1.61E+26,1.94E+26,inf,2.84E+03,0.0001,1.04E+00,-9.39E-01,1.40E+00,1.65E-01,1.39E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.9,0,0,45,N,nan,nan,nan,nan,3.57E+03,0.000099,1.04E+00,-9.39E-01,1.40E+00,1.65E-01,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.9,0,0,99,N,-2.50E+25,-2.81E+25,3.76E+25,inf,3.22E+03,0.000142,1.04E+00,-9.39E-01,1.40E+00,1.65E-01,2.69E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.5
1,0,0,42,Y,1.15E+26,1.56E+26,1.94E+26,inf,2.84E+03,0.0001,-2.30E-01,-1.14E+00,1.17E+00,1.48E-01,1.66E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
1,0,0,45,N,nan,nan,nan,nan,3.57E+03,0.000099,-2.30E-01,-1.14E+00,1.17E+00,1.48E-01,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
