lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
4,0,0,42,N,-4.6903590474477792e-02,-1.6202902046245476e-01,1.6868120900509373e-01,2.172574e-05,2.224683e-03,0.998457,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,9.427018e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0,8,15000,500.1
4,0,0,45,Y,-3.6487771901887350e-01,3.5277430225033657e-02,3.6657911413458638e-01,2.504689e-05,4.915771e-04,0.999541,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,1.156670e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0,8,15000,662.2
4,0,0,99,N,-3.5887452367518374e-01,2.6547505818800354e-01,4.4639436629847140e-01,6.138971e-05,2.295277e-03,0.998145,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,1.255277e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0,8,15000,419.1
