lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.6,0.5,0,42,N,3.86E-01,-2.14E-01,4.42E-01,1.50E-05,1.16E-04,0.999865,4.43E-01,5.69E-03,4.43E-01,7.98E-02,5.12E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,678.7
0.6,0.5,0,45,Y,4.12E-01,-3.38E-01,5.33E-01,1.67E-05,1.09E-04,0.999895,4.43E-01,5.69E-03,4.43E-01,7.98E-02,7.78E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,664.7
0.6,0.5,0,99,N,4.08E-01,-3.32E-01,5.26E-01,1.98E-05,2.19E-04,0.999861,4.43E-01,5.69E-03,4.43E-01,7.98E-02,7.65E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,663.8
0.7,0.5,0,42,N,1.04E+02,3.13E+01,1.09E+02,1.22E-02,8.85E-04,0.999228,5.18E-01,-3.05E-01,6.02E-01,3.95E-02,1.80E+02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,667.6
0.7,0.5,0,45,Y,4.38E-01,-3.83E-01,5.82E-01,5.02E-05,7.08E-04,0.999263,5.18E-01,-3.05E-01,6.02E-01,3.95E-02,1.85E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,684.8
0.7,0.5,0,99,N,2.71E-01,1.46E+00,1.48E+00,3.43E-04,4.93E-03,0.994913,5.18E-01,-3.05E-01,6.02E-01,3.95E-02,2.96E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,754.9
0.8,0.5,0,42,N,3.64E-01,-2.47E-01,4.40E-01,3.04E-05,4.32E-04,0.99951,4.87E-01,-1.51E-01,5.10E-01,4.95E-02,3.05E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,671
0.8,0.5,0,45,N,-6.29E-01,1.00E+00,1.18E+00,2.00E-04,3.00E-03,0.997149,4.87E-01,-1.51E-01,5.10E-01,4.95E-02,3.15E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,663.2
0.8,0.5,0,99,Y,3.46E-01,-2.45E-01,4.24E-01,1.56E-05,1.97E-04,0.999871,4.87E-01,-1.51E-01,5.10E-01,4.95E-02,3.31E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,667
0.9,0.5,0,42,Y,-4.12E-01,2.58E-01,4.86E-01,2.10E-05,1.97E-04,0.999816,8.06E-01,-2.96E-02,8.06E-01,6.24E-02,1.55E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,673.3
0.9,0.5,0,45,N,9.98E-01,-1.96E+00,2.20E+00,1.66E-04,5.24E-04,0.999473,8.06E-01,-2.96E-02,8.06E-01,6.24E-02,2.41E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,693.4
0.9,0.5,0,99,N,4.60E-01,-4.25E-01,6.26E-01,1.30E-04,4.15E-03,0.995817,8.06E-01,-2.96E-02,8.06E-01,6.24E-02,6.52E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,670.5
