lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.5,0,0,99,N,-3.42E+25,7.63E+24,3.51E+25,inf,3.20E+03,0.000136,-3.59E-01,2.47E-02,3.60E-01,2.13E-01,9.74E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.6,0,0,42,Y,1.65E+26,-3.49E+25,1.68E+26,inf,2.81E+03,0.0001,1.16E+00,3.04E-01,1.20E+00,1.96E-01,1.41E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.6,0,0,45,N,nan,nan,nan,nan,3.54E+03,0.000098,1.16E+00,3.04E-01,1.20E+00,1.96E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.6,0,0,99,N,-1.86E+25,1.39E+25,2.32E+25,inf,3.19E+03,0.000123,1.16E+00,3.04E-01,1.20E+00,1.96E-01,1.94E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.7,0,0,42,Y,1.49E+26,-4.82E+25,1.57E+26,inf,2.81E+03,0.0001,1.35E+00,-9.91E-01,1.68E+00,1.71E-01,9.34E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.7,0,0,45,N,nan,nan,nan,nan,3.54E+03,0.000098,1.35E+00,-9.91E-01,1.68E+00,1.71E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.7,0,0,99,N,-9.52E+24,1.93E+25,2.15E+25,inf,3.19E+03,0.000123,1.35E+00,-9.91E-01,1.68E+00,1.71E-01,1.28E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.8,0,0,42,Y,1.48E+26,-5.54E+25,1.58E+26,inf,2.81E+03,0.0001,4.26E-01,-1.54E+00,1.60E+00,1.46E-01,9.87E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.8,0,0,45,N,nan,nan,nan,nan,3.53E+03,0.000098,4.26E-01,-1.54E+00,1.60E+00,1.46E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.8,0,0,99,N,5.52E+23,2.22E+25,2.22E+25,inf,3.19E+03,0.000123,4.26E-01,-1.54E+00,1.60E+00,1.46E-01,1.39E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.9,0,0,42,Y,1.47E+26,-6.27E+25,1.60E+26,inf,2.81E+03,0.0001,-4.05E-01,-1.22E+00,1.29E+00,1.24E-01,1.24E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.9,0,0,45,N,nan,nan,nan,nan,3.53E+03,0.000098,-4.05E-01,-1.22E+00,1.29E+00,1.24E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
