seed,T,lam,chain_dir,warm_from_T,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,m,omega,eps,rank,x_i,x_f,time_s,weight_file
45,3.6000,0.1000,up,2.7000,4.6893647148472155e+00,-5.9652831686259367e+00,7.5878023637115115e+00,1.286675e-02,3.556914e-01,0.721540,4.4780678331914403e-01,-4.4780678331914403e-01,12000,16,1.0,2,0.01,16,0,0,976.9,warm_start_weights\Tscan_seed45_T3.6000_lam0.1000.pt
45,4.3000,0.1000,up,3.6000,2.0585423765496693e+00,-2.5242422999040039e+00,3.2572067641885152e+00,3.769257e-03,1.665188e-01,0.879896,4.6552669474670993e-01,-4.6552669474670988e-01,12000,16,1.0,2,0.01,16,0,0,878.2,warm_start_weights\Tscan_seed45_T4.3000_lam0.1000.pt
45,5.3000,0.1000,up,4.3000,-1.0919464593105106e+02,-5.4679300516421748e+01,1.2212000902789340e+02,2.011583e-01,1.816947e-01,0.834865,4.1530011999996747e-01,4.1530011999996747e-01,12000,16,1.0,2,0.01,16,0,0,872.1,warm_start_weights\Tscan_seed45_T5.3000_lam0.1000.pt
45,5.9000,0.1000,up,5.3000,1.4136274000011422e+00,-1.0889817502066685e+00,1.7844393176337401e+00,1.805097e-03,8.708030e-02,0.905947,4.7904794199857692e-01,4.7904794199857698e-01,12000,16,1.0,2,0.01,16,0,0,976.0,warm_start_weights\Tscan_seed45_T5.9000_lam0.1000.pt
45,6.7000,0.1000,up,5.9000,4.8216630298483942e-01,3.4149815308578231e+00,3.4488524468051849e+00,2.278698e-03,3.998537e-02,0.960058,4.6364323989756440e-01,-4.6364323989756440e-01,12000,16,1.0,2,0.01,16,0,0,925.3,warm_start_weights\Tscan_seed45_T6.7000_lam0.1000.pt
45,8.5000,0.1000,up,6.7000,-1.4200238693847880e+00,4.6977503947718974e-01,1.4957126653666943e+00,1.754117e-03,1.051117e-01,0.800513,4.0687272109459860e-01,4.0687272109459854e-01,12000,16,1.0,2,0.01,16,0,0,866.4,warm_start_weights\Tscan_seed45_T8.5000_lam0.1000.pt
45,9.8000,0.1000,up,8.5000,1.7790672029577952e+00,-1.4558862497690956e+00,2.2988442498148487e+00,2.826752e-03,8.665932e-02,0.825454,4.8309157336122438e-01,-4.8309157336122438e-01,12000,16,1.0,2,0.01,16,0,0,873.6,warm_start_weights\Tscan_seed45_T9.8000_lam0.1000.pt
45,10.6000,0.1000,up,9.8000,-1.7008885823907960e-01,-2.3247687436411830e+00,2.3309826106404308e+00,2.893167e-02,2.249323e-01,0.591067,4.7307067959526306e-01,-4.7307067959526306e-01,12000,16,1.0,2,0.01,16,0,0,873.9,warm_start_weights\Tscan_seed45_T10.6000_lam0.1000.pt
99,1.0000,0.1000,anchor,,-4.1983288732636626e-01,4.1625234547817702e-01,5.9120695902270715e-01,1.262254e-05,5.258826e-05,0.999959,4.1836667621661972e-01,-4.1836667621661966e-01,15000,16,1.0,2,0.01,16,0,0,1069.7,warm_start_weights\Tscan_seed99_T1.0000_lam0.1000.pt
99,0.5000,0.1000,down,1.0000,-4.8971441231345469e-01,3.9184856227698384e-01,6.2718856924058464e-01,2.718370e-06,1.630402e-06,0.999998,4.3490108695058904e-01,-4.3490108695058910e-01,12000,16,1.0,2,0.01,16,0,0,850.0,warm_start_weights\Tscan_seed99_T0.5000_lam0.1000.pt
