seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file,xf_from_filename,source_csv
45,0,0,N,,3.9085922922000976e-01,-1.8859684091971521e-01,4.3398122709554671e-01,2.619990e-09,5.291228e-12,1.000000,3.8885028963483875e-01,-1.9476757348620916e-01,15000,16,1,1.0,1,0.01,16,0,1,290.0,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf1.0.pt,1.0,warm_start_scan_xi0_xf1.0.csv
45,1,0.1,Y,0,3.9524930206525971e-01,-1.8845898624525792e-01,4.3787989252723769e-01,1.210843e-05,6.115188e-05,0.999925,3.8885028963483875e-01,-1.9476757348620916e-01,9000,16,1,1.0,1,0.01,16,0,1,175.6,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf1.0.pt,1.0,warm_start_scan_xi0_xf1.0.csv
42,0,0,N,,-4.1895398737552303e-01,1.1147228210821290e-01,4.3353029100198165e-01,3.220649e-09,5.796251e-12,1.000000,4.1750879410619263e-01,-1.2175944429405355e-01,15000,16,1,1.0,1,0.01,16,0,1.25,292.1,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf1.25.pt,1.25,warm_start_scan_xi0_xf1.25.csv
42,1,0.1,Y,0,-4.2560135674819660e-01,1.1443927126643620e-01,4.4071857423292099e-01,1.563500e-05,9.008433e-05,0.999883,4.1750879410619263e-01,-1.2175944429405355e-01,9000,16,1,1.0,1,0.01,16,0,1.25,173.4,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf1.25.pt,1.25,warm_start_scan_xi0_xf1.25.csv
45,0,0,N,,4.1893404183472388e-01,-1.1166221010920586e-01,4.3355989271893058e-01,2.793639e-09,4.266885e-12,1.000000,4.1750879410619263e-01,-1.2175944429405355e-01,15000,16,1,1.0,1,0.01,16,0,1.25,291.0,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf1.25.pt,1.25,warm_start_scan_xi0_xf1.25.csv
45,1,0.1,Y,0,4.2430134158137767e-01,-1.1762546551199188e-01,4.4030373448867061e-01,1.431789e-05,8.123361e-05,0.999897,4.1750879410619263e-01,-1.2175944429405355e-01,9000,16,1,1.0,1,0.01,16,0,1.25,174.1,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf1.25.pt,1.25,warm_start_scan_xi0_xf1.25.csv
42,0,0,N,,-4.3283650409249663e-01,1.2504367490801466e-02,4.3301708797847560e-01,2.998813e-09,5.910715e-12,1.000000,4.3403710680369312e-01,-2.7399732631603918e-02,15000,16,1,1.0,1,0.01,16,0,1.5,290.8,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf1.5.pt,1.5,warm_start_scan_xi0_xf1.5.csv
42,1,0.1,Y,0,-4.4311271780836725e-01,2.1019014779760592e-02,4.4361095530411498e-01,1.843898e-05,1.266800e-04,0.999838,4.3403710680369312e-01,-2.7399732631603918e-02,9000,16,1,1.0,1,0.01,16,0,1.5,173.9,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf1.5.pt,1.5,warm_start_scan_xi0_xf1.5.csv
45,0,0,N,,-4.3287600505141011e-01,1.2574312801330060e-02,4.3305859775750222e-01,2.995315e-09,5.139483e-12,1.000000,4.3403710680369312e-01,-2.7399732631603918e-02,15000,16,1,1.0,1,0.01,16,0,1.5,288.1,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf1.5.pt,1.5,warm_start_scan_xi0_xf1.5.csv
45,1,0.1,Y,0,-4.4238232286032830e-01,2.3551353538518661e-02,4.4300878753450934e-01,1.698746e-05,1.159408e-04,0.999856,4.3403710680369312e-01,-2.7399732631603918e-02,9000,16,1,1.0,1,0.01,16,0,1.5,174.1,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf1.5.pt,1.5,warm_start_scan_xi0_xf1.5.csv
42,0,0,N,,4.1957079949919962e-01,1.0484139605468540e-01,4.3247124080000160e-01,2.881450e-09,4.822260e-12,1.000000,4.2642054565481596e-01,8.5466213641724520e-02,15000,16,1,1.0,1,0.01,16,0,1.75,289.7,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf1.75.pt,1.75,warm_start_scan_xi0_xf1.75.csv
42,1,0.1,Y,0,4.3871759620009954e-01,1.0227163177441297e-01,4.5048042785607756e-01,2.131018e-05,1.631003e-04,0.999778,4.2642054565481596e-01,8.5466213641724520e-02,9000,16,1,1.0,1,0.01,16,0,1.75,173.0,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf1.75.pt,1.75,warm_start_scan_xi0_xf1.75.csv
45,0,0,N,,4.1960074067705455e-01,1.0449641739366329e-01,4.3241679294963037e-01,2.826784e-09,4.049552e-12,1.000000,4.2642054565481596e-01,8.5466213641724520e-02,15000,16,1,1.0,1,0.01,16,0,1.75,285.3,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf1.75.pt,1.75,warm_start_scan_xi0_xf1.75.csv
