lam,x_i,x_f,K_re,K_im,abs_K,std_err,final_loss,ess_n,N,T,m,omega,eps,rank,epochs,time_s
0.5,0.5,0,0.424005851,-0.299047151,0.518854661,1.35941E-05,6.56802E-05,0.999925,16,1,1,2,0.01,8,15000,396.3
4,0.5,0,-1.43739001,-0.50016123,1.521923551,0.000263362,0.003152875,0.996791,16,1,1,2,0.01,8,15000,376
,,,,,,,,,,,,,,,,
,,,1.815928785,,,,,,,,,,,,,
