lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0.3,45,6,0.3,Y,0.2,0.311482275189575,-0.304049744640286,0.435278594664495,0.00001207952,0.00007878512,0.999927,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,558.9,warm_start_weights/seed45_step06_lam0.3000_xi0_xf0.pt
0.3,99,6,0.3,Y,0.2,-0.311255352982319,0.304288970484441,0.43528343905854,0.00001294278,0.00006506826,0.999915,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,565.8,warm_start_weights/seed99_step06_lam0.3000_xi0_xf0.pt
0.4,42,7,0.4,Y,0.3,-0.315759368910663,0.302074307538625,0.436981540033215,0.00001610893,0.0001480172,0.99987,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,554.5,warm_start_weights/seed42_step07_lam0.4000_xi0_xf0.pt
0.4,45,7,0.4,Y,0.3,0.31148376854967,-0.303670829623494,0.435015069663254,0.00001546696,0.0001269499,0.99988,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,552.9,warm_start_weights/seed45_step07_lam0.4000_xi0_xf0.pt
0.4,99,7,0.4,Y,0.3,-0.311601469567459,0.303795368698667,0.435186284112171,0.00001652157,0.0001038603,0.999862,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,554.7,warm_start_weights/seed99_step07_lam0.4000_xi0_xf0.pt
0.5,42,8,0.5,Y,0.4,-0.314022324513876,0.302386221458974,0.435944316652178,0.00001924537,0.0002145061,0.999813,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,558.6,warm_start_weights/seed42_step08_lam0.5000_xi0_xf0.pt
0.5,45,8,0.5,Y,0.4,0.311707652167527,-0.302996468287168,0.434705095684752,0.00001879642,0.0001845793,0.999823,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,551.6,warm_start_weights/seed45_step08_lam0.5000_xi0_xf0.pt
0.5,99,8,0.5,Y,0.4,-0.311831581727108,0.302998361422487,0.434795287908163,0.00001994862,0.0001513513,0.999799,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,570,warm_start_weights/seed99_step08_lam0.5000_xi0_xf0.pt
0.6,42,9,0.6,Y,0.5,-0.312904937148976,0.302065742800257,0.434917477995166,0.00002240193,0.000297238,0.999745,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,548,warm_start_weights/seed42_step09_lam0.6000_xi0_xf0.pt
0.6,45,9,0.6,Y,0.5,0.312276772247356,-0.302112874093313,0.434498528395838,0.00002213992,0.000255454,0.999755,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,551.5,warm_start_weights/seed45_step09_lam0.6000_xi0_xf0.pt
0.6,99,9,0.6,Y,0.5,-0.312329984822857,0.302081205910588,0.43451475738327,0.00002337199,0.000209508,0.999724,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,560.7,warm_start_weights/seed99_step09_lam0.6000_xi0_xf0.pt
0.8,42,10,0.8,Y,0.6,-0.313940115756208,0.300175985950194,0.43435471543681,0.00002903754,0.0005130816,0.99957,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,554.3,warm_start_weights/seed42_step10_lam0.8000_xi0_xf0.pt
0.8,45,10,0.8,Y,0.6,0.313795350831924,-0.300164734445278,0.43424231715522,0.00002897513,0.00044176,0.999579,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,547.9,warm_start_weights/seed45_step10_lam0.8000_xi0_xf0.pt
0.8,99,10,0.8,Y,0.6,-0.313813169494121,0.30012685107843,0.434229008803189,0.00003044405,0.0003571057,0.999532,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,558.2,warm_start_weights/seed99_step10_lam0.8000_xi0_xf0.pt
1,42,11,1,Y,0.8,-0.315330757438038,0.298184198749425,0.433989980264848,0.00003555148,0.0007828547,0.999352,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,552.1,warm_start_weights/seed42_step11_lam1.0000_xi0_xf0.pt
