lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.05,0,0,42,N,4.2253456185142735e-01,-4.1553623033390369e-01,5.9262620147871348e-01,7.059262e-06,1.737360e-05,0.999984,4.1947602637676668e-01,-4.1722096197333353e-01,5.9163626309988437e-01,2.819782e-05,5.902008e-03,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0,8,15000,426.2
0.05,0,0,45,Y,4.2137466264394680e-01,-4.1643203163838505e-01,5.9242910402239091e-01,6.640077e-06,1.175315e-05,0.999989,4.1947602637676668e-01,-4.1722096197333353e-01,5.9163626309988437e-01,2.819782e-05,3.475147e-03,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0,8,15000,506.6
0.05,0,0,99,N,-4.1928711087138598e-01,4.1687008788817914e-01,5.9125489555586108e-01,6.322365e-06,1.358451e-05,0.999990,4.1947602637676668e-01,-4.1722096197333353e-01,5.9163626309988437e-01,2.819782e-05,1.999355e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0,8,15000,490.5
