lam,x_i,x_f,K_re,K_im,abs_K,std_err,final_loss,ess_n,N,T,m,omega,eps,rank,epochs,time_s
0,0.5,1,-4.2169255064168693e-01,-4.0541653204040817e-01,5.8496766724184246e-01,6.772283e-07,1.803385e-07,1.000000,16,1.0,1.0,2.0,0.01,8,15000,419.6
0.05,0.5,1,4.3131201369634553e-01,3.9497825962082606e-01,5.8484004542429657e-01,8.484324e-06,2.333663e-05,0.999965,16,1.0,1.0,2.0,0.01,8,15000,495.9
0.1,0.5,1,4.7465730634482195e-01,4.0305395728414561e-01,6.2269739918272671e-01,1.063052e-05,1.744595e-05,0.999955,16,1.0,1.0,2.0,0.01,8,15000,527.8
0.2,0.5,1,5.0161307801169741e-01,4.0243974911781982e-01,6.4309675143199330e-01,2.331477e-05,9.029699e-05,0.999838,16,1.0,1.0,2.0,0.01,8,15000,525.2
0.5,0.5,1,4.3503503835673625e+00,6.2667541052087916e-01,4.3952554567347066e+00,5.637092e-03,6.760189e-03,0.894295,16,1.0,1.0,2.0,0.01,8,15000,545.4
1,0.5,1,-2.2340640884939150e-01,-1.9329785460140697e-01,2.9542255179401616e-01,2.782382e-04,8.379472e-03,0.972628,16,1.0,1.0,2.0,0.01,8,15000,525.0
2,0.5,1,-1.0621511554514966e-01,4.2578813846319730e-01,4.3883617629614852e-01,3.074864e-03,2.903270e-03,0.990334,16,1.0,1.0,2.0,0.01,8,15000,517.1
4,0.5,1,-5.0170580922405048e-02,-5.6125399990461781e-02,7.5280460374395425e-02,3.408940e-04,1.102513e+00,0.383440,16,1.0,1.0,2.0,0.01,8,15000,527.5
8,0.5,1,-1.5238310892827925e-01,6.6855737524203110e-02,1.6640403098048123e-01,3.129588e-05,2.645796e-03,0.995835,16,1.0,1.0,2.0,0.01,8,15000,521.1
